,area,perimeter,physiological_length,physiological_width,aspect_ratio,rectangularity,circularity,mean_r,mean_g,mean_b,stddev_r,stddev_g,stddev_b,contrast,correlation,inverse_difference_moments,entropy
0,543368.0,4170.9325650930405,1527,1066,1.4324577861163228,2.9957266530233655,32.01638385505515,26.167969270833332,52.48196822916667,5.9119546875,46.28499127204436,83.79960449427492,21.23523576810753,0,0,0,0
0,647781.5,4209.449375510216,1536,1124,1.3665480427046264,2.6651949770099947,27.354075479128912,15.211096875,44.477505729166666,9.052203645833334,33.33801351912005,63.009109644355725,29.145130923538428,0,0,0,0
0,514932.5,4255.107980728149,1213,1088,1.114889705882353,2.5629456287960073,35.16178125804137,19.557269791666666,37.3309953125,14.525284375,36.495504522876466,61.86706312663956,29.303465901244188,0,0,0,0
0,1027478.5,4591.763960838318,1457,1056,1.3797348484848484,1.4974444720741116,20.52042575299979,51.469827083333335,76.30332083333333,46.92657916666667,53.279263702089246,73.12465901354392,51.67102115392693,0,0,0,0
0,380789.5,2862.5840364694595,1221,446,2.7376681614349776,1.4300972059366133,21.51946775278673,12.317509895833334,26.056334895833334,10.270899479166667,35.67568462417428,52.44792185691133,39.936310329611345,0,0,0,0
0,793525.5,4018.440139055252,1448,1036,1.3976833976833978,1.8904597268770822,20.34951762882276,30.426083333333334,55.233740104166664,19.508381770833335,49.59806698679282,69.05662786831451,38.26512433225045,0,0,0,0
0,766144.0,3792.8064675331116,1083,1076,1.0065055762081785,1.5210038843872693,18.776340870855872,32.39279947916667,56.275318229166665,19.956797916666666,45.01552655434566,69.92556876465281,33.54577687399706,0,0,0,0
0,928144.0,4722.477598428726,1288,1086,1.1860036832412524,1.5070592494268131,24.02837778153083,42.99232447916667,72.11888854166666,29.532945833333333,47.68242136502941,74.51105621884574,35.38597054550103,0,0,0,0
0,736356.5,4312.332501411438,1514,1072,1.412313432835821,2.2041062990548737,25.254359271262533,18.846940104166666,52.45183854166667,11.623517708333333,35.33991162124564,68.61632031672394,29.78376259321615,0,0,0,0
0,892809.5,3728.7101405858994,1177,1073,1.0969245107176142,1.4145470002279321,15.572503778810729,38.2519359375,71.1150796875,30.4650484375,44.14601118792308,75.94838210024415,36.61295901687831,0,0,0,0
0,261779.0,2109.1900302171707,806,407,1.9803439803439804,1.253125728190573,16.994039184073245,5.364651041666667,13.713781770833334,5.0339765625,18.12332559602342,35.309340145648676,17.73499187310312,0,0,0,0
0,451870.5,5883.435094237328,1181,1015,1.1635467980295566,2.6527843707433876,76.60338196032579,20.318630729166667,36.970641666666666,17.318725520833333,40.48033200389949,66.38705026808013,36.067660707872406,0,0,0,0
0,645296.0,3967.1091961860657,1478,976,1.514344262295082,2.2354516376980484,24.38873846182845,34.47679114583333,55.330821875,26.172711979166667,50.18476309364978,77.15704680371297,39.346429293856126,0,0,0,0
0,816358.0,5215.746714472771,1389,1126,1.233570159857904,1.915843294241007,33.32363226615468,42.75209791666666,72.90681197916666,32.41197864583334,51.4806594425558,84.73099186944691,40.17204058732322,0,0,0,0
0,679714.0,3891.781206011772,1414,948,1.4915611814345993,1.9721117999629256,22.282843895324273,36.9075578125,60.59166354166667,26.459149479166665,51.43032124636658,81.1321888371284,38.221385606663766,0,0,0,0
